{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.092 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.092 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.180 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.092 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.180 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.092 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.180 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.187 | PID:21303 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45624 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.092 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.180 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.187 | PID:21303 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45624 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.160 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35788 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.092 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.180 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.181 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.187 | PID:21303 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45624 
{Probe:tcptracer |Sys_Time:16:36:00 |T:2.187 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:TIME |T:TIME(s) | PID:PID | PNAME:COMM | IP:IP | SADDR:SADDR | DADDR:DADDR | DPORT:DPORT | SPORT:SPORT 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.000 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45588 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.003 | PID:21207 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45586 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45606 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.001 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.005 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:21297 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6002 | SPORT:45608 
{Probe:tcptracer |Sys_Time:16:35:58 |T:0.048 | PID:13424 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.024 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.112 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35766 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.115 | PID:21255 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35764 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.113 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.118 | PID:21302 | PNAME:iperf3 | IP:4 | SADDR:127.0.0.1 | DADDR:127.0.0.1 | DPORT:6001 | SPORT:35786 
{Probe:tcptracer |Sys_Time:16:35:59 |T:1.161 | PID:13422 | PNAME:iperf3 | IP:6 | SADDR:[::] | DADDR:[0:ffff:7f00:1::] | DPORT:65535 | SPORT:0 
